Achernar,1.628556,-57.236755,Eri,42.753300,0.450000,1051.961914,B3Vp
Aldebaran,4.598677,16.509300,Tau,20.433201,0.870000,163.230011,K5III
Rigel,5.242298,-8.201640,Ori,264.550293,0.180000,51665.425781,B8Ia
Capella,5.278150,45.997990,Aur,13.123400,0.080000,139.315674,M1: comp
Betelgeuse,5.919529,7.407063,Ori,152.671799,0.450000,13415.288086,M2Ib
Canopus,6.399195,-52.695660,Car,94.786697,-0.620000,13854.791992,F0Ib
Sirius,6.752481,-16.716116,CMa,2.637100,-1.440000,22.824432,A0m...
Adhara,6.977097,-28.972084,CMa,124.223602,1.500000,3375.980957,B2II
Castor,7.576634,31.888275,Gem,15.595800,1.580000,49.431068,A2Vm
Procyon,7.655033,5.224993,CMi,3.514200,0.400000,7.440464,F5IV-V
Pollux,7.755277,28.026199,Gem,10.358400,1.160000,32.092239,K0IIIvar
Regulus,10.139532,11.967207,Leo,24.313200,1.360000,147.095703,B7V
Acrux,12.443311,-63.099091,Cru,98.716698,0.770000,4176.379883,B0.5IV
Gacrux,12.519429,-57.113213,Cru,27.151800,1.590000,148.456772,M4III
Becrux,12.795359,-59.688763,Cru,85.397102,1.250000,2008.167847,B0.5III
Spica,13.419883,-11.161322,Vir,76.569702,0.980000,2070.141357,B1V
Hadar,14.063729,-60.373039,Cen,120.192299,0.610000,7171.334961,B1III
Arcturus,14.261030,19.182409,Boo,11.257500,-0.050000,115.557999,K2IIIp
Rigil Kentaurus,14.660765,-60.833977,Cen,1.324800,-0.010000,1.543121,G2V
Antares,16.490128,-26.432001,Sco,169.779297,1.060000,9453.660156,M1Ib + B2.5V
Vega,18.615641,38.783691,Lyr,7.678700,0.030000,49.934418,A0Vvar
Altair,19.846388,8.868322,Aql,5.129500,0.760000,11.376273,A7IV-V
Deneb,20.690533,45.280338,Cyg,432.900391,1.250000,51617.859375,A2Ia
Fomalhaut,22.960838,-29.622236,PsA,7.703600,1.170000,17.587334,A3V
